Person ID,Exists,Job ID,Candidate_SF_Id,Job_SF_Id,Job_Submission_Exists,Error
544490,Not Exist,179306,,,N/A (candidate not in SF),
544510,Exist,179306,a00N300001GNRCNIA5,a02N300000qJPOAIA4,Not Exist,
544510,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
544511,Not Exist,179306,,,N/A (candidate not in SF),
544512,Not Exist,182162,,,N/A (candidate not in SF),
544657,Not Exist,179306,,,N/A (candidate not in SF),
544659,Exist,179306,a00N300001Eu4x1IAB,a02N300000qJPOAIA4,Exist,
544660,Not Exist,179306,,,N/A (candidate not in SF),
547067,Not Exist,179306,,,N/A (candidate not in SF),
547674,Not Exist,179306,,,N/A (candidate not in SF),
547675,Exist,179306,a00N300001Eu51GIAR,a02N300000qJPOAIA4,Exist,
547677,Exist,179306,a00N300001Eu51IIAR,a02N300000qJPOAIA4,Not Exist,
547678,Exist,179306,a00N300001F2zNyIAJ,a02N300000qJPOAIA4,Exist,
547678,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
547679,Exist,179306,a00N300001F2zNzIAJ,a02N300000qJPOAIA4,Exist,
547680,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
547680,Exist,179306,a00N300001F2zO0IAJ,a02N300000qJPOAIA4,Not Exist,
547773,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
547773,Exist,179303,a00N300001F2zO3IAJ,a02N300000qJg7FIAS,Exist,
549241,Not Exist,179306,,,N/A (candidate not in SF),
549273,Not Exist,179306,,,N/A (candidate not in SF),
549289,Not Exist,179306,,,N/A (candidate not in SF),
549509,Not Exist,182162,,,N/A (candidate not in SF),
555977,Exist,179306,a00N300001GOm5GIAT,a02N300000qJPOAIA4,Not Exist,
555983,Exist,179306,a00N300001F2zYZIAZ,a02N300000qJPOAIA4,Not Exist,
555984,Exist,179306,a00N300001F2zYaIAJ,a02N300000qJPOAIA4,Exist,
555996,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
555997,Not Exist,179303,,,N/A (candidate not in SF),
555997,Not Exist,179306,,,N/A (candidate not in SF),
556228,Not Exist,179306,,,N/A (candidate not in SF),
558652,Not Exist,179306,,,N/A (candidate not in SF),
558658,Exist,179306,a00N300001F2zaHIAR,a02N300000qJPOAIA4,Not Exist,
558663,Not Exist,179306,,,N/A (candidate not in SF),
558676,Exist,179306,a00N300001F2zaMIAR,a02N300000qJPOAIA4,Exist,
558690,Not Exist,179306,,,N/A (candidate not in SF),
558691,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
558711,Exist,179306,a00N300001F2zaRIAR,a02N300000qJPOAIA4,Exist,
558715,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
558727,Not Exist,179306,,,N/A (candidate not in SF),
558735,Not Exist,179306,,,N/A (candidate not in SF),
558735,Not Exist,182162,,,N/A (candidate not in SF),
559013,Exist,179306,a00N300001F2z2HIAR,a02N300000qJPOAIA4,Exist,
559014,Not Exist,182162,,,N/A (candidate not in SF),
559014,Not Exist,179306,,,N/A (candidate not in SF),
559014,Not Exist,179303,,,N/A (candidate not in SF),
559016,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
559016,Exist,179306,a00N300001F2zcnIAB,a02N300000qJPOAIA4,Exist,
559017,Exist,179303,a00N300001F2zcoIAB,a02N300000qJg7FIAS,Exist,
559017,Exist,179306,a00N300001F2zcoIAB,a02N300000qJPOAIA4,Not Exist,
559018,Exist,179306,a00N300001F2zcpIAB,a02N300000qJPOAIA4,Exist,
559019,Not Exist,179306,,,N/A (candidate not in SF),
559021,Not Exist,179306,,,N/A (candidate not in SF),
559022,Not Exist,179306,,,N/A (candidate not in SF),
559024,Exist,179303,a00N300001Eu5KxIAJ,a02N300000qJg7FIAS,Exist,
559024,Exist,179306,a00N300001Eu5KxIAJ,a02N300000qJPOAIA4,Not Exist,
559027,Exist,179306,a00N300001F2zcqIAB,a02N300000qJPOAIA4,Exist,
559029,Exist,179306,a00N300001Eu5KyIAJ,a02N300000qJPOAIA4,Exist,
559032,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
559034,Not Exist,179306,,,N/A (candidate not in SF),
559039,Exist,179306,a00N300001F2zctIAB,a02N300000qJPOAIA4,Not Exist,
559050,Exist,179306,a00N300001Eu5L3IAJ,a02N300000qJPOAIA4,Exist,
559053,Not Exist,179306,,,N/A (candidate not in SF),
559057,Exist,179306,a00N300001Eu5L4IAJ,a02N300000qJPOAIA4,Exist,
559060,Not Exist,179303,,,N/A (candidate not in SF),
559063,Exist,179306,a00N300001Eu5L5IAJ,a02N300000qJPOAIA4,Exist,
559065,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
559065,Exist,179306,a00N300001F2zcuIAB,a02N300000qJPOAIA4,Exist,
559068,Exist,179306,a00N300001Eu5L6IAJ,a02N300000qJPOAIA4,Exist,
